RoomID,Room,Status,Accuracy,Loss,Acc_ensemble,Acc_lgb,Acc_xgb,Acc_lstm
,1592,NO_METRICS,nan,nan,nan,nan,nan,nan
,1593,NO_METRICS,nan,nan,nan,nan,nan,nan
,1594,NO_METRICS,nan,nan,nan,nan,nan,nan
,1595,NO_METRICS,nan,nan,nan,nan,nan,nan
,1596,NO_METRICS,nan,nan,nan,nan,nan,nan
,1597,NO_METRICS,nan,nan,nan,nan,nan,nan
,1598,NO_METRICS,nan,nan,nan,nan,nan,nan
,1599,NO_METRICS,nan,nan,nan,nan,nan,nan
,15,NO_METRICS,nan,nan,nan,nan,nan,nan
,1600,NO_METRICS,nan,nan,nan,nan,nan,nan
,1601,NO_METRICS,nan,nan,nan,nan,nan,nan
,1602,NO_METRICS,nan,nan,nan,nan,nan,nan
,1603,NO_METRICS,nan,nan,nan,nan,nan,nan
,1604,NO_METRICS,nan,nan,nan,nan,nan,nan
,1605,NO_METRICS,nan,nan,nan,nan,nan,nan
,1606,NO_METRICS,nan,nan,nan,nan,nan,nan
,1607,NO_METRICS,nan,nan,nan,nan,nan,nan
,1608,NO_METRICS,nan,nan,nan,nan,nan,nan
,1609,NO_METRICS,nan,nan,nan,nan,nan,nan
,1610,NO_METRICS,nan,nan,nan,nan,nan,nan
,1611,NO_METRICS,nan,nan,nan,nan,nan,nan
,1612,NO_METRICS,nan,nan,nan,nan,nan,nan
,1613,NO_METRICS,nan,nan,nan,nan,nan,nan
,1614,NO_METRICS,nan,nan,nan,nan,nan,nan
,1615,NO_METRICS,nan,nan,nan,nan,nan,nan
,1616,NO_METRICS,nan,nan,nan,nan,nan,nan
,1617,NO_METRICS,nan,nan,nan,nan,nan,nan
,1618,NO_METRICS,nan,nan,nan,nan,nan,nan
,1619,NO_METRICS,nan,nan,nan,nan,nan,nan
,1620,NO_METRICS,nan,nan,nan,nan,nan,nan
,1621,NO_METRICS,nan,nan,nan,nan,nan,nan
,1622,NO_METRICS,nan,nan,nan,nan,nan,nan
,1623,NO_METRICS,nan,nan,nan,nan,nan,nan
,1624,NO_METRICS,nan,nan,nan,nan,nan,nan
,1625,NO_METRICS,nan,nan,nan,nan,nan,nan
,1626,NO_METRICS,nan,nan,nan,nan,nan,nan
,1627,NO_METRICS,nan,nan,nan,nan,nan,nan
,1628,NO_METRICS,nan,nan,nan,nan,nan,nan
,1629,NO_METRICS,nan,nan,nan,nan,nan,nan
,1630,NO_METRICS,nan,nan,nan,nan,nan,nan
,1631,NO_METRICS,nan,nan,nan,nan,nan,nan
,1632,NO_METRICS,nan,nan,nan,nan,nan,nan
,1633,NO_METRICS,nan,nan,nan,nan,nan,nan
,1634,NO_METRICS,nan,nan,nan,nan,nan,nan
,1635,NO_METRICS,nan,nan,nan,nan,nan,nan
,1636,NO_METRICS,nan,nan,nan,nan,nan,nan
,1637,NO_METRICS,nan,nan,nan,nan,nan,nan
,1638,NO_METRICS,nan,nan,nan,nan,nan,nan
,1639,NO_METRICS,nan,nan,nan,nan,nan,nan
,1640,NO_METRICS,nan,nan,nan,nan,nan,nan
,1641,NO_METRICS,nan,nan,nan,nan,nan,nan
,1642,NO_METRICS,nan,nan,nan,nan,nan,nan
,1643,NO_METRICS,nan,nan,nan,nan,nan,nan
,1644,NO_METRICS,nan,nan,nan,nan,nan,nan
,1645,NO_METRICS,nan,nan,nan,nan,nan,nan
,1646,NO_METRICS,nan,nan,nan,nan,nan,nan
,1647,NO_METRICS,nan,nan,nan,nan,nan,nan
,1648,NO_METRICS,nan,nan,nan,nan,nan,nan
,1649,NO_METRICS,nan,nan,nan,nan,nan,nan
,1650,NO_METRICS,nan,nan,nan,nan,nan,nan
,1651,NO_METRICS,nan,nan,nan,nan,nan,nan
,1652,NO_METRICS,nan,nan,nan,nan,nan,nan
,1653,NO_METRICS,nan,nan,nan,nan,nan,nan
,1654,NO_METRICS,nan,nan,nan,nan,nan,nan
,1655,NO_METRICS,nan,nan,nan,nan,nan,nan
,1656,NO_METRICS,nan,nan,nan,nan,nan,nan
,1657,NO_METRICS,nan,nan,nan,nan,nan,nan
,1658,NO_METRICS,nan,nan,nan,nan,nan,nan
,1659,NO_METRICS,nan,nan,nan,nan,nan,nan
,1660,NO_METRICS,nan,nan,nan,nan,nan,nan
,1661,NO_METRICS,nan,nan,nan,nan,nan,nan
